Designator,Mid X,Mid Y,Rotation,Layer
C1,130.26,-115.0075,270.0,top
C2,125.84,-115.0075,270.0,bottom
D1,130.39,-110.17,180.0,top
EDG1,147.41,-86.81,0.0,top
Q1,180.28,-98.1225,90.0,top
Q2,170.68,-98.1225,90.0,top
Q3,175.46,-98.1225,90.0,top
Q4,160.94,-98.1225,90.0,top
Q5,165.87,-98.1225,90.0,top
R1,174.11,-115.0075,270.0,bottom
R10,161.0275,-94.1125,180.0,top
R11,175.5475,-94.1125,180.0,top
R12,170.7675,-94.1125,180.0,top
R13,180.3675,-94.1125,180.0,top
R2,171.53,-115.0075,90.0,top
R3,168.64,-115.04,270.0,bottom
R4,180.3675,-102.0525,180.0,top
R5,170.7675,-102.0525,180.0,top
R6,175.5475,-102.0525,180.0,top
R7,161.0275,-102.0525,180.0,top
R8,165.9575,-102.0525,180.0,top
R9,165.9575,-94.1125,180.0,top
U1,167.82,-75.34,270.0,top
